Brand,Model,Body,Mileage,EngineV,Engine Type,Registration,Year,Price
BMW,524,sedan,340,2.4,Diesel,yes,1988,2899
BMW,645,other,95,4.5,Petrol,yes,2005,19900
Audi,Q7,crossover,44,3,Diesel,yes,2014,51000
Audi,Q7,crossover,0,2.98,Diesel,yes,2016,81999
BMW,735,sedan,400,3.5,Gas,yes,1999,9500
Mitsubishi,Outlander,crossover,99,2,Gas,yes,2008,10200
Mercedes-Benz,Vito,van,260,2.2,Diesel,no,2004,5500
Volkswagen,Passat CC,sedan,74,1.8,Petrol,yes,2011,18500
Volkswagen,T4 (Transporter),van,200,2.5,Diesel,yes,2003,11200
BMW,320,sedan,320,2,Diesel,no,2000,3099
Audi,TT,other,65,2,Petrol,yes,2011,27300
Volkswagen,Jetta,other,200,1.8,Gas,yes,1987,1450
Mitsubishi,Galant,sedan,120,2.4,Gas,yes,2006,9700
Mitsubishi,Pajero Wagon,crossover,127,3,Gas,yes,2008,18900
Audi,Q5,crossover,67,2,Petrol,yes,2011,33500
Volkswagen,T4 (Transporter),van,400,1.9,Diesel,yes,1995,5500
Volkswagen,Passat B5,sedan,270,1.8,Gas,yes,1997,5300
Toyota,Land Cruiser Prado,crossover,200,4,Petrol,yes,2007,25500
Toyota,Highlander,crossover,125,3.5,Gas,yes,2013,23660
Volkswagen,Golf II,hatch,311,1.6,Gas,yes,1986,3100
Mitsubishi,Lancer,sedan,170,1.6,Petrol,yes,2007,5900
Volkswagen,Passat B7,sedan,150,2,Diesel,yes,2012,15900
Mercedes-Benz,GLE-Class,crossover,0,2.98,Diesel,yes,2016,105999
Mercedes-Benz,Vito,van,170,2.2,Diesel,yes,2010,18500
BMW,X6,crossover,0,3,Diesel,yes,2016,86999
BMW,520,sedan,170,2,Diesel,yes,2011,27800
Volkswagen,T4 (Transporter),van,275,2.5,Diesel,yes,2002,9000
Toyota,Camry,sedan,185,3.5,Petrol,yes,2008,12200
Toyota,Camry,sedan,200,2.2,Petrol,yes,1999,5800
Volkswagen,T5 (Transporter) ,van,164,2,Diesel,yes,2013,14499
Audi,Q7,other,170,3,Diesel,yes,2010,37000
Volkswagen,Golf III,hatch,199,1.8,Petrol,yes,1996,4500
Audi,A8,sedan,327,4.2,Gas,yes,2000,6557.85
Renault,Megane,sedan,219,1.6,Gas,yes,2007,6800
BMW,X6,crossover,97,3,Diesel,yes,2010,37900
Audi,A6,sedan,176,3,Diesel,yes,2005,14200
Mitsubishi,Lancer X,sedan,94,1.5,Gas,yes,2010,9350
Volkswagen,Passat B2,vagon,150,1.6,Petrol,yes,1986,2200
Toyota,Corolla,hatch,283,1.3,Petrol,yes,1994,3100
Mitsubishi,Pajero Wagon,crossover,100,3.2,Diesel,yes,2011,8400
Audi,A4 Allroad,vagon,35,2,Petrol,yes,2013,30650
Audi,A6,sedan,298,2.4,Gas,yes,1999,8800
Mercedes-Benz,S 500,other,25,4.7,Petrol,yes,2014,NA
Mitsubishi,Pajero Sport,crossover,254,3,Petrol,yes,2002,7699
Renault,Kangoo,van,136,1.5,Diesel,yes,2012,6400
Volkswagen,Golf VI,hatch,44,1.4,Petrol,yes,2012,16200
Volkswagen,Vento,sedan,88,1.8,Gas,yes,1993,4100
Mercedes-Benz,C-Class,sedan,235,2.2,Diesel,yes,1999,6800
Volkswagen,Polo,sedan,75,1.6,Petrol,yes,2012,10600
Toyota,Rav 4,crossover,149,2,Petrol,yes,2006,13000
Toyota,Avensis,sedan,248,2,Petrol,yes,2001,6500
Audi,A6 Allroad,vagon,181,3,Petrol,yes,2009,25500
Volkswagen,Amarok,crossover,132,2,Diesel,yes,2011,28000
Toyota,Corolla,sedan,123,NA,Petrol,yes,2008,9800
Audi,A8,sedan,200,2.5,Diesel,no,2001,3500
Volkswagen,Caddy,van,165,2,Diesel,yes,2013,14899
BMW,530,sedan,300,3,Diesel,no,1999,3500
BMW,320,sedan,272,2,Diesel,yes,2000,3500
Volkswagen,Touareg,crossover,0,3,Diesel,yes,2016,71138
Renault,Logan,sedan,1,1.2,Petrol,yes,2016,9658.94
Volkswagen,T6 (Transporter),van,178,2.5,Diesel,yes,2007,13000
Toyota,Corolla,hatch,115,1.6,Petrol,yes,2007,8000
BMW,X5,crossover,1,2,Diesel,yes,2016,56500
Renault,Kangoo,vagon,114,1.5,Diesel,yes,2012,9700
Mercedes-Benz,A 140,hatch,176,1.4,Petrol,yes,2004,7300
Renault,Megane,vagon,190,1.5,Diesel,yes,2009,9000
Volkswagen,Passat B7,sedan,96,2.5,Petrol,yes,2013,17900
Volkswagen,Passat B6,sedan,147,2,Petrol,yes,2007,10700
Mercedes-Benz,E-Class,sedan,186,3.2,Petrol,yes,2003,11600
Volkswagen,T5 (Transporter),van,275,2.5,Diesel,yes,2008,15000
Volkswagen,Golf V,hatch,200,1.4,Petrol,yes,2005,8350
Mercedes-Benz,S 500,sedan,199,5,Petrol,yes,1996,7700
BMW,Z4,other,5,2,Petrol,yes,2014,47000
Audi,A8,sedan,55,6.3,Petrol,yes,2012,72000
Mitsubishi,Pajero Wagon,crossover,149,3,Gas,yes,2008,17499
Renault,Megane,vagon,141,1.5,Diesel,yes,2013,11300
Toyota,Corolla,sedan,168,1.6,Petrol,yes,2008,8500
Mercedes-Benz,E-Class,vagon,212,2.2,Diesel,yes,2008,14490
Volkswagen,T5 (Transporter) ,van,176,2,Diesel,yes,2011,11999
Volkswagen,Golf III,hatch,217,1.6,Gas,yes,1997,4300
BMW,X1,crossover,33,2,Diesel,yes,2014,35500
Toyota,Corolla,other,421,1.3,Gas,yes,1988,2800
BMW,520,sedan,0,2,Petrol,yes,2016,37976.25
Renault,Trafic,van,183,2.5,Diesel,yes,2006,10500
Toyota,Land Cruiser 200,crossover,1,4.5,Diesel,yes,2016,74999
Renault,Kangoo,van,125,1.5,Diesel,yes,2012,7300
Mitsubishi,Outlander XL,crossover,140,2.4,Petrol,yes,2007,12200
Toyota,Land Cruiser 200,crossover,0,4.5,Diesel,yes,2016,NA
Mercedes-Benz,Vito,van,199,2.2,Diesel,yes,2009,13600
Audi,100,sedan,280,2.3,Gas,yes,1992,5000
Renault,Trafic,other,188,2,Diesel,yes,2008,12800
Volkswagen,T6 (Transporter) ,other,184,2,Diesel,yes,2012,12499
Mitsubishi,Galant,sedan,150,2,Gas,yes,1996,2800
Renault,Megane,van,200,1.5,Diesel,yes,2007,7300
Mitsubishi,Lancer,sedan,82,2,Petrol,yes,2007,6800
Mitsubishi,Outlander,crossover,225,2.4,Gas,yes,2004,9500
Audi,A3,hatch,160,1.4,Petrol,yes,2011,15900
Volkswagen,Caddy,other,180,1.9,Diesel,yes,2010,8900
Toyota,Camry,sedan,90,2.5,Gas,yes,2012,16030
BMW,520,sedan,170,2,Diesel,yes,2011,28000
Audi,A6,vagon,222,2.5,Diesel,yes,2005,10700
BMW,X5,crossover,150,30,Petrol,yes,2007,25000
Mercedes-Benz,E-Class,sedan,230,2,Gas,yes,2000,7000
Volkswagen,T5 (Transporter) ,van,260,2.5,Diesel,yes,2008,8800
Volkswagen,Tiguan,crossover,20,2,Diesel,yes,2014,35000
Audi,A6,vagon,200,2.7,Diesel,yes,2006,8000
Mercedes-Benz,E-Class,sedan,260,2.2,Diesel,yes,2008,15400
Volkswagen,Passat B5,sedan,325,1.8,Gas,yes,2003,7650
Mitsubishi,Outlander,crossover,52,2,Petrol,yes,2008,10600
Renault,Logan,vagon,192,1.5,Diesel,yes,2010,8200
Volkswagen,T4 (Transporter),other,520,2.5,Diesel,yes,1999,8700
BMW,520,sedan,29,2,Diesel,yes,2016,45000
Volkswagen,T4 (Transporter) ,van,258,2.5,Diesel,yes,2001,5699
Mercedes-Benz,Viano,van,217,3.7,Gas,yes,2005,13200
Volkswagen,Caddy,van,70,2,Diesel,yes,2013,11500
BMW,528,sedan,233,28,Petrol,no,1997,3300
Volkswagen,T5 (Transporter) ,van,213,2,Diesel,yes,2012,12700
Mercedes-Benz,E-Class,other,176,3,Diesel,yes,2008,NA
Volkswagen,Polo,hatch,62,1.4,Petrol,yes,2012,12300
Mercedes-Benz,S 350,sedan,100,3.5,Petrol,yes,2010,35500
Audi,A4,sedan,210,2,Diesel,yes,2008,15500
Mercedes-Benz,GLK 220,crossover,109,2.2,Diesel,yes,2012,33000
Mercedes-Benz,Vito,van,173,2.2,Diesel,yes,2011,NA
BMW,320,sedan,280,2,Petrol,yes,1997,6500
Volkswagen,Passat B5,sedan,11,1.9,Other,no,2000,2350
Volkswagen,Touareg,crossover,130,3.6,Gas,yes,2007,17900
BMW,X5,other,160,3,Diesel,yes,2010,34500
Renault,Latitude,sedan,99,2.5,Petrol,yes,2011,12300
Mercedes-Benz,CLS 350,sedan,193,3.5,Other,yes,2006,20500
BMW,M5,sedan,30,4.4,Petrol,yes,2014,75555
Toyota,Camry,sedan,145,2.4,Petrol,yes,2008,12800
Mercedes-Benz,Vito,other,360,2.2,Diesel,yes,2008,12800
Audi,A8,sedan,327,3.7,Petrol,yes,1997,6900
Volkswagen,Touareg,crossover,220,2.5,Diesel,yes,2006,17200
Renault,Symbol,sedan,87,1.4,Petrol,yes,2013,6800
Audi,A8,other,80,4.2,Petrol,yes,2004,14300
Volkswagen,Passat B7,sedan,169,1.4,Gas,no,2013,11600
Volkswagen,T4 (Transporter),van,231,2.5,Diesel,yes,2002,11990
BMW,750,sedan,8,4.4,Petrol,yes,2014,77777
Mercedes-Benz,C-Class,sedan,186,NA,Petrol,yes,1998,6800
BMW,318,sedan,300,1.8,Other,yes,1987,2800
Mercedes-Benz,E-Class,other,65,1.8,Petrol,yes,2011,28500
Audi,Q7,crossover,75,3,Diesel,yes,2013,42700
Volkswagen,Caddy,other,217,1.9,Diesel,yes,2006,6950
Volkswagen,Polo,hatch,117,1.4,Petrol,yes,2007,7300
Mercedes-Benz,S 350,sedan,25,3,Diesel,yes,2014,NA
Mitsubishi,Pajero Sport,crossover,1,2.5,Diesel,yes,2016,27565.2
Volkswagen,Golf Variant,vagon,145,1.6,Diesel,yes,2011,12900
Volkswagen,Bora,sedan,217,2.3,Petrol,yes,1999,5900
Mercedes-Benz,A 140,hatch,111,1.4,Petrol,no,1999,2600
Audi,A6,vagon,390,1.9,Diesel,no,1998,2799
Mitsubishi,Pajero Sport,crossover,98,2.5,Diesel,yes,2011,21000
Audi,A6,sedan,231,1.9,Diesel,no,2002,4999
Volkswagen,Bora,sedan,160,1.6,Petrol,yes,2003,6900
Mercedes-Benz,S 320,sedan,366,3.2,Gas,yes,1991,5800
Mitsubishi,ASX,other,68,1.8,Petrol,yes,2011,15700
Volkswagen,Touareg,crossover,0,3,Diesel,yes,2015,74500
Mercedes-Benz,S 500,sedan,131,5.5,Gas,yes,2008,22900
Mercedes-Benz,ML 350,crossover,96,3.5,Petrol,yes,2010,32000
Mercedes-Benz,CLA 200,sedan,3,1.6,Petrol,yes,2014,35300
Volkswagen,Passat B5,sedan,320,1.8,Gas,yes,2002,6900
BMW,520,sedan,286,2.8,Petrol,yes,2001,7000
Volkswagen,Touareg,crossover,92,3,Diesel,yes,2011,35800
Volkswagen,Polo,hatch,60,1.4,Petrol,yes,2010,10700
BMW,X5,crossover,194,3,Petrol,yes,2007,23999
Volkswagen,Golf IV,hatch,300,1.9,Diesel,no,2000,2700
Mercedes-Benz,S 350,sedan,80,NA,Diesel,yes,2010,10000
Toyota,Land Cruiser Prado,crossover,146,2.7,Gas,yes,2006,18200
Audi,A6,vagon,325,2.5,Diesel,no,2000,2450
Audi,A3,hatch,123,1.4,Petrol,yes,2010,15800
Volkswagen,Passat B5,vagon,176,1.9,Diesel,yes,2005,9400
Mitsubishi,Space Star,vagon,230,1.6,Petrol,yes,2005,5800
Volkswagen,Passat B7,sedan,162,1.4,Petrol,yes,2012,13499
Volkswagen,Passat B8,sedan,0,2,Diesel,yes,2016,39615
Toyota,Rav 4,crossover,40,2,Petrol,yes,2014,23300
Audi,A4,sedan,217,1.9,Diesel,no,1996,2100
BMW,520,sedan,350,99.99,Other,yes,1992,3000
Mercedes-Benz,230,sedan,337,2.3,Gas,yes,1988,2700
Renault,Trafic,van,153,2,Diesel,yes,2012,NA
Volkswagen,Caddy,van,16,2,Diesel,yes,2005,6700
BMW,X1,crossover,0,2,Diesel,yes,2016,43163.25
Renault,Laguna,hatch,186,22,Diesel,no,2005,2750
Toyota,Rav 4,crossover,92,2.2,Diesel,yes,2013,28350
Toyota,Land Cruiser Prado,crossover,90,2.7,Gas,yes,2010,29500
BMW,X5 M,crossover,15,4.39,Petrol,yes,2015,NA
Volkswagen,Passat B5,sedan,258,1.9,Diesel,yes,2004,8200
Mercedes-Benz,Sprinter 313,other,269,2.2,Diesel,yes,2006,10999
Mercedes-Benz,GLS 350,crossover,1,3,Diesel,yes,2016,NA
Renault,Logan,sedan,19,1.2,Petrol,yes,2013,8299
Toyota,Camry,sedan,105,2.5,Petrol,yes,2013,20500
Volkswagen,T5 (Transporter) ,van,168,2,Diesel,yes,2012,14500
Toyota,Camry,other,135,3.5,Gas,yes,2009,17300
Mercedes-Benz,S 500,sedan,105,5.5,Petrol,yes,2006,18700
Toyota,Corolla,sedan,38,1.33,Petrol,yes,2014,13200
Volkswagen,Jetta,sedan,200,1.3,Gas,yes,1991,2450
Audi,A7,hatch,24,2.8,Other,yes,2014,55000
Toyota,Previa,van,135,2.4,Gas,yes,2006,20000
Volkswagen,Golf III,hatch,266,1.9,Diesel,yes,1993,4000
Mitsubishi,Pajero Wagon,other,120,3,Petrol,yes,2008,16900
Mitsubishi,Lancer X,sedan,60,1.6,Gas,yes,2012,11450
Mercedes-Benz,G 500,crossover,236,5,Petrol,yes,2000,24500
Renault,Fluence,sedan,64,2,Gas,yes,2011,12350
Mercedes-Benz,E-Class,sedan,239,2.3,Petrol,yes,1996,6900
Toyota,Land Cruiser Prado,crossover,40,2.7,Petrol,yes,2011,30500
Mitsubishi,Lancer X,sedan,105,2,Gas,yes,2008,8800
Audi,A6,sedan,249,2.5,Diesel,yes,2004,9700
BMW,X5,crossover,33,3,Petrol,yes,2015,63500
Mitsubishi,Lancer X,sedan,96,2,Petrol,yes,2008,8900
Audi,A4,vagon,210,1.8,Gas,no,1996,1950
Audi,A6,sedan,190,2.5,Diesel,no,2003,4400
Toyota,Camry,sedan,162,3.5,Gas,yes,2007,12450
Audi,A6,sedan,295,2.5,Diesel,no,2000,3200
Audi,A8,sedan,294,3,Gas,yes,2004,12600
Renault,Kangoo,vagon,137,1.9,Diesel,yes,2008,NA
Mercedes-Benz,E-Class,sedan,225,2,Gas,yes,1995,4400
Mercedes-Benz,E-Class,sedan,111,2.5,Diesel,yes,1989,3900
Mercedes-Benz,GLS 500,crossover,0,4.6,Petrol,yes,2016,154999
Volkswagen,Polo,sedan,101,1.6,Petrol,yes,2012,8499
Mercedes-Benz,Vito,other,230,2.2,Diesel,yes,2001,8000
Volkswagen,Beetle,hatch,250,1.9,Diesel,no,2000,3500
Audi,A6,sedan,195,2.4,Gas,yes,2005,11900
Toyota,Camry,sedan,43,2.5,Gas,yes,2015,24800
Audi,A6,vagon,190,2.5,Diesel,no,2002,3800
Volkswagen,Passat B5,sedan,190,99.99,Petrol,yes,1998,4800
Volkswagen,Caddy,van,230,1.9,Diesel,yes,2006,7500
BMW,528,sedan,270,2.8,Petrol,yes,1998,8999
Volkswagen,T4 (Transporter),van,326,2.4,Diesel,yes,1995,5000
Mercedes-Benz,ML 350,crossover,135,3.5,Petrol,yes,2007,21000
Renault,Kangoo,van,142,1.9,Diesel,yes,2007,4200
Mitsubishi,Pajero Wagon,crossover,160,3.2,Diesel,yes,2007,18000
Volkswagen,T4 (Transporter),van,220,2.5,Diesel,yes,2003,8500
Renault,Laguna,hatch,232,1.8,Petrol,yes,1997,3750
Volkswagen,Caddy,other,212,2,Gas,yes,2007,9000
Mitsubishi,Pajero,crossover,235,3.2,Diesel,no,2001,6300
BMW,320,sedan,297,2.2,Petrol,yes,2000,8400
Volkswagen,Golf IV,hatch,190,NA,Petrol,yes,1998,5000
Volkswagen,T5 (Transporter),van,157,2,Diesel,yes,2010,17000
Volkswagen,Jetta,sedan,240,1.8,Petrol,yes,1991,3000
Mercedes-Benz,GL 450,crossover,114,4.7,Petrol,yes,2007,21300
BMW,X5,crossover,230,3,Gas,yes,2004,16500
Mercedes-Benz,Sprinter 311,other,250,2.2,Diesel,yes,2005,7300
Mercedes-Benz,Vito,van,300,2.3,Diesel,yes,1996,NA
Mercedes-Benz,E-Class,sedan,300,3,Diesel,yes,1999,2300
BMW,540,sedan,250,4.4,Petrol,yes,1997,8200
Audi,A6,sedan,61,2.8,Petrol,yes,2012,35000
Volkswagen,Passat B5,vagon,193,1.9,Diesel,yes,2002,7800
Volkswagen,Golf Plus,hatch,157,1.6,Petrol,yes,2008,8200
Audi,Q5,crossover,45,2,Diesel,yes,2014,39999
Renault,Trafic,other,173,2,Diesel,yes,2012,11900
Mercedes-Benz,E-Class,sedan,276,2.7,Diesel,no,2001,3600
Volkswagen,Passat B3,sedan,201,1.8,Petrol,yes,1991,3399
BMW,320,vagon,335,2,Petrol,no,2000,2650
Mercedes-Benz,A 150,hatch,103,1.5,Petrol,yes,2007,11700
Mercedes-Benz,A 160,hatch,180,NA,Petrol,no,2000,1600
BMW,525,vagon,312,2.5,Diesel,no,1999,2550
Renault,Trafic,van,220,2,Diesel,yes,2008,NA
Mercedes-Benz,E-Class,vagon,367,3.2,Diesel,no,2000,2550
Audi,A4,sedan,32,1.8,Petrol,yes,2014,31700
Mercedes-Benz,S 350,sedan,18,3,Diesel,yes,2015,125000
BMW,X5,crossover,285,4.8,Petrol,yes,2006,20500
Mitsubishi,Lancer,other,200,2.4,Petrol,no,2002,2600
BMW,525,vagon,250,2.5,Diesel,no,2000,2500
Mercedes-Benz,Vito,van,182,2.2,Diesel,yes,2011,13200
Mercedes-Benz,GL 320,crossover,220,3.2,Diesel,yes,2008,31000
Audi,A4 Allroad,vagon,118,2,Petrol,yes,2013,30900
Mitsubishi,Carisma,sedan,167,1.6,Petrol,yes,2003,4750
Volkswagen,T6 (Transporter) ,van,160,2,Diesel,yes,2011,NA
Audi,A8,sedan,62,3,Petrol,yes,2013,NA
Toyota,Auris,hatch,118,1.6,Petrol,yes,2008,8950
Renault,Grand Scenic,van,177,1.5,Diesel,yes,2007,8300
Audi,A6,sedan,360,2.5,Diesel,yes,1997,6900
Volkswagen,Passat B7,sedan,81,NA,Other,no,2013,5000
BMW,X5 M,crossover,71,4.4,Petrol,yes,2011,69999
Volkswagen,Passat B5,sedan,255,1.9,Diesel,no,2003,3250
Volkswagen,Golf VI,hatch,91,1.4,Petrol,yes,2010,11900
Mitsubishi,Eclipse,other,114,2,Petrol,yes,1999,9600
Mercedes-Benz,C-Class,vagon,206,2.1,Diesel,yes,2011,21200
Toyota,Land Cruiser 200,crossover,0,4.5,Diesel,yes,2016,102999
Mercedes-Benz,Vito,van,277,2.2,Diesel,yes,2007,11900
Renault,Kangoo,van,185,1.5,Diesel,yes,2008,9999
Renault,Logan,sedan,57,1.2,Gas,yes,2013,8500
Volkswagen,T4 (Transporter),other,385,2.4,Diesel,yes,1997,6500
Mitsubishi,Lancer X,sedan,80,1.5,Petrol,yes,2008,8700
Volkswagen,Caddy,van,169,1.6,Diesel,yes,2011,8599
Volkswagen,Golf VI,hatch,156,1.6,Diesel,yes,2011,12700
Mitsubishi,Lancer,sedan,135,2,Gas,yes,2007,7700
Mitsubishi,L 200,other,90,NA,Other,no,2008,2020
Volkswagen,Caddy,van,123,1.2,Petrol,yes,2013,NA
Mitsubishi,Galant,sedan,150,2.4,Gas,yes,2007,8700
Mitsubishi,Lancer X,sedan,95,2,Petrol,yes,2007,9300
Mercedes-Benz,E-Class,sedan,238,2.2,Diesel,no,2001,3550
Audi,Q7,crossover,151,3,Diesel,yes,2007,29800
Renault,Kangoo,van,202,1.9,Diesel,yes,2001,3900
BMW,X5,crossover,200,3,Diesel,yes,2009,NA
Volkswagen,T5 (Transporter) ,van,345,1.9,Diesel,yes,2006,7000
Audi,TT,other,70,2,Petrol,yes,2009,17700
Toyota,Camry,sedan,225,3,Gas,yes,2004,9999
Audi,A5,hatch,180,2,Diesel,yes,2011,25300
Audi,A4 Allroad,vagon,175,2,Gas,yes,2010,22500
Volkswagen,Jetta,sedan,2,1.6,Petrol,yes,2015,18600
Mitsubishi,Lancer,sedan,160,2,Petrol,yes,2007,6999
Toyota,Land Cruiser 100,crossover,281,4.2,Diesel,yes,1999,16200
Mercedes-Benz,B-Class Electric Drive,hatch,9,NA,Other,yes,2015,29999
Toyota,Land Cruiser 100,crossover,320,4.2,Diesel,yes,1999,18000
Mercedes-Benz,E-Class,sedan,144,2.14,Diesel,yes,2011,27300
Toyota,Carina,sedan,550,1.6,Gas,yes,1989,2700
BMW,X5,crossover,218,3,Diesel,no,2006,12000
Mercedes-Benz,B-Class Electric Drive,hatch,2,NA,Other,yes,2015,39900
Volkswagen,Passat B5,other,280,1.9,Diesel,no,1997,1800
Audi,A4,sedan,106,1.8,Petrol,yes,2011,20500
Volkswagen,Polo,other,1,1.4,Petrol,yes,2014,10493
BMW,330,sedan,154,3,Petrol,yes,2006,16800
Volkswagen,Passat B6,sedan,177,NA,Petrol,yes,2008,12500
BMW,730,sedan,238,3,Diesel,no,2004,8200
BMW,525,sedan,330,NA,Diesel,yes,1997,8000
Mercedes-Benz,Vito,van,171,2.2,Diesel,yes,2011,14500
Volkswagen,Passat CC,crossover,62,2,Diesel,yes,2012,24500
Toyota,Rav 4,sedan,96,2.4,Gas,yes,2008,13250
Toyota,Camry,sedan,250,3,Gas,yes,1998,6400
Mercedes-Benz,S 550,sedan,135,5.5,Petrol,yes,2008,29500
Volkswagen,Multivan,van,1,5,Diesel,yes,2015,69990
Audi,A6,vagon,110,2.5,Diesel,no,2002,2600
Volkswagen,Passat B4,sedan,500,1.9,Diesel,yes,1995,4900
Renault,Megane,vagon,185,1.5,Diesel,yes,2011,10500
Volkswagen,Touareg,crossover,90,3.6,Petrol,yes,2008,NA
Volkswagen,Tiguan,crossover,1,2,Diesel,yes,2015,27200
Mercedes-Benz,E-Class,sedan,360,2.5,Diesel,no,1989,1350
Mercedes-Benz,S 350,sedan,24,3,Diesel,yes,2015,NA
Toyota,Camry,sedan,139,2.4,Other,yes,2008,13900
BMW,745,sedan,194,4.4,Gas,yes,2002,12800
Toyota,Land Cruiser Prado,crossover,135,4,Gas,yes,2007,21200
Mercedes-Benz,E-Class,sedan,196,2,Gas,yes,2000,8700
Toyota,Avensis,sedan,165,1.8,Petrol,yes,2007,8800
Toyota,Avensis,sedan,129,1.8,Petrol,yes,2009,12900
BMW,530,sedan,339,3,Diesel,yes,2001,9500
BMW,530,sedan,243,3,Diesel,yes,2002,10700
Volkswagen,Caddy,van,156,1.6,Diesel,yes,2012,10800
Mitsubishi,Galant,hatch,350,2,Gas,yes,1989,2400
Renault,Megane,other,132,1.5,Diesel,yes,2012,13300
BMW,X5,crossover,85,3,Petrol,yes,2010,34500
BMW,X6,other,20,3.5,Petrol,yes,2013,57000
Renault,Kangoo,van,146,1.5,Diesel,yes,2012,7200
Toyota,Camry,sedan,69,2.5,Gas,yes,2014,23400
Mercedes-Benz,S 55,sedan,215,55,Petrol,no,2001,6500
Toyota,Land Cruiser Prado,crossover,59,3,Diesel,yes,2014,48000
BMW,525,sedan,325,NA,Other,no,2005,6800
Volkswagen,Golf VI,sedan,1,1.4,Petrol,yes,2012,4200
Mercedes-Benz,E-Class,other,340,2.4,Gas,yes,1998,6200
BMW,X5 M,crossover,2,4.4,Petrol,yes,2016,137000
Audi,80,sedan,250,NA,Gas,no,1994,1300
BMW,523,sedan,225,2.5,Petrol,no,1997,2900
Mercedes-Benz,Vito,other,199,2.2,Diesel,yes,2011,12700
Audi,A6 Allroad,vagon,140,4.2,Petrol,yes,2007,16999
Volkswagen,Polo,sedan,0,1.6,Petrol,yes,2016,13972.07
Mercedes-Benz,S 500,sedan,95,6.2,Petrol,yes,2011,41900
Renault,Megane,vagon,227,1.5,Diesel,yes,2005,6650
Mercedes-Benz,E-Class,other,280,2.4,Petrol,yes,2003,9200
BMW,525,sedan,250,2.5,Petrol,yes,2006,15300
Volkswagen,T3 (Transporter),van,100,1.6,Diesel,yes,1988,1450
Volkswagen,Caddy,van,278,1.9,Diesel,yes,2005,5900
Mercedes-Benz,190,sedan,400,2,Diesel,yes,1987,4100
Mercedes-Benz,E-Class,sedan,282,3.2,Gas,yes,1993,4900
BMW,330,vagon,260,3,Diesel,yes,2004,12900
Toyota,FJ Cruiser,vagon,73,4,Gas,yes,2009,33333
Volkswagen,Polo,hatch,127,1.39,Petrol,yes,2007,7200
BMW,X6,crossover,1,3,Diesel,yes,2014,77777
Mercedes-Benz,A 140,hatch,175,1.4,Petrol,no,2000,2300
Volkswagen,Touareg,crossover,235,3.2,Gas,yes,2005,13000
Volkswagen,T4 (Transporter) ,van,318,1.9,Diesel,yes,1993,3000
Renault,Kangoo,van,92,1.5,Diesel,yes,2013,7999
Mercedes-Benz,Vito,van,250,2.2,Diesel,yes,2005,11000
BMW,M5,sedan,23,4.4,Petrol,yes,2014,81000
BMW,318,sedan,304,1.9,Gas,no,2000,3800
BMW,325,other,280,2.5,Petrol,yes,1985,4300
Audi,100,sedan,340,2.8,Gas,yes,1992,4400
Audi,A6,vagon,320,2.5,Diesel,no,2002,3150
Volkswagen,T5 (Transporter),other,287,2.5,Other,yes,2004,10900
Volkswagen,Caddy,van,305,NA,Diesel,yes,2004,6400
Audi,A6,vagon,250,2.5,Other,no,2001,3050
Volkswagen,Touran,vagon,0,2,Diesel,yes,2014,30385
BMW,X5,crossover,170,4.8,Petrol,yes,2008,20999
Volkswagen,Polo,sedan,255,1.9,Diesel,no,1998,1500
Mitsubishi,Outlander,crossover,120,2,Gas,yes,2008,NA
Toyota,Vista,vagon,200,2,Petrol,yes,1999,8500
Toyota,Corolla,sedan,115,1.6,Gas,yes,2008,9200
Toyota,Camry,sedan,49,3.5,Petrol,yes,2011,20800
Renault,Trafic,van,206,1.9,Diesel,yes,2005,8100
Volkswagen,Passat B6,sedan,104,1.8,Petrol,yes,2010,13500
Renault,Kangoo,van,218,1.5,Diesel,yes,2006,4900
Volkswagen,Golf IV,hatch,136,1.4,Gas,yes,2001,6600
Mitsubishi,Pajero,crossover,245,2.8,Diesel,no,1996,1450
Volkswagen,Passat B3,sedan,320,1.8,Gas,yes,1989,3600
Toyota,Camry,sedan,51,2.5,Gas,yes,2014,24000
Toyota,Camry,sedan,130,2.4,Petrol,yes,2008,12700
Mercedes-Benz,CL 500,other,315,5,Gas,yes,2004,14500
BMW,318,sedan,200,1.8,Petrol,no,1999,2299
BMW,735,sedan,234,3.5,Gas,yes,1999,8900
Audi,A6,vagon,152,3,Diesel,yes,2012,30500
Mercedes-Benz,E-Class,sedan,370,3.2,Diesel,no,2002,4000
Toyota,Camry,sedan,137,2.4,Petrol,yes,2008,12900
Volkswagen,Passat B3,sedan,200,1.8,Petrol,yes,1989,3300
Toyota,Avensis,sedan,178,1.8,Petrol,yes,2007,9800
Renault,Master,other,173,2.3,Diesel,yes,2013,15200
Volkswagen,Passat B4,vagon,290,1.8,Petrol,yes,1996,4950
Volkswagen,Touareg,crossover,36,3,Diesel,yes,2015,55500
Volkswagen,Multivan,van,188,2.5,Diesel,yes,2008,17900
Mercedes-Benz,ML 270,crossover,271,2.7,Diesel,no,2003,5900
Toyota,Land Cruiser 100,crossover,225,4.7,Gas,yes,2003,20500
BMW,318,other,300,1.8,Petrol,yes,1994,5000
Volkswagen,T5 (Transporter) ,van,100,2,Diesel,yes,2010,11500
Mercedes-Benz,G 350,other,35,NA,Diesel,yes,2015,115000
Volkswagen,Golf IV,hatch,230,1.6,Petrol,yes,2000,2900
